"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","84014048704","Guerra Riera, Gerard","27/02/1991","Palacios Izquierdo, Ivet","+34 XXXXXXX","+34 XXXXXXX","gerard@mailintaor.com","Merino Escudero, Irene","+34 XXXXZZZZ","+34 XXXXLLL","ivet@mailintaor.com","c/ de l'aviador Irene Merino Escudero","L'Armentera","Albanyà","gerard@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","51989349628","Martin Heredia, Jaume","08/01/1996","Castillo Ruiz, Aina","+34 XXXXXXX","+34 XXXXXXX","jaume@mailintaor.com","Gomez Bermudez, Dídac","+34 XXXXZZZZ","+34 XXXXLLL","aina@mailintaor.com","c/ de l'aviador Dídac Gomez Bermudez","L'Armentera","Albanyà","jaume@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","30723109059","Vera Castells, Gisela","03/08/1990","Prat Cuevas, Clara","+34 XXXXXXX","+34 XXXXXXX","gisela@mailintaor.com","Valls Benitez, Alexandra","+34 XXXXZZZZ","+34 XXXXLLL","clara@mailintaor.com","c/ de l'aviador Alexandra Valls Benitez","L'Armentera","Albanyà","gisela@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","51712957616","Lara Asensio, Iker","25/09/1998","Navas Domenech, Miguel","+34 XXXXXXX","+34 XXXXXXX","iker@mailintaor.com","Millan Ibañez, David","+34 XXXXZZZZ","+34 XXXXLLL","miguel@mailintaor.com","c/ de l'aviador David Millan Ibañez","L'Armentera","Albanyà","iker@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","38193884554","Montes Sierra, Roc","22/09/1991","Dominguez Sola, Daniel","+34 XXXXXXX","+34 XXXXXXX","roc@mailintaor.com","Luque Guillen, Laia","+34 XXXXZZZZ","+34 XXXXLLL","daniel@mailintaor.com","c/ de l'aviador Laia Luque Guillen","L'Armentera","Albanyà","roc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","20644265662","Gutierrez Casado, Quim","06/07/1998","Sans Macias, Blanca","+34 XXXXXXX","+34 XXXXXXX","quim@mailintaor.com","Jimenez Garcia, Carlota","+34 XXXXZZZZ","+34 XXXXLLL","blanca@mailintaor.com","c/ de l'aviador Carlota Jimenez Garcia","L'Armentera","Albanyà","quim@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","43281385628","Pallares Merino, Leire","03/03/1996","Franco Cuenca, Marcos","+34 XXXXXXX","+34 XXXXXXX","leire@mailintaor.com","Redondo Coll, Bernat","+34 XXXXZZZZ","+34 XXXXLLL","marcos@mailintaor.com","c/ de l'aviador Bernat Redondo Coll","L'Armentera","Albanyà","leire@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","86906981914","Asensio Hernandez, Inés","16/12/1997","Bermudez Beltran, David","+34 XXXXXXX","+34 XXXXXXX","ines@mailintaor.com","Vargas Pla, Inés","+34 XXXXZZZZ","+34 XXXXLLL","david@mailintaor.com","c/ de l'aviador Inés Vargas Pla","L'Armentera","Albanyà","ines@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","37416626255","Nuñez Barrera, Biel","04/03/1992","Marti Pallares, José","+34 XXXXXXX","+34 XXXXXXX","biel@mailintaor.com","Rico Flores, Elena","+34 XXXXZZZZ","+34 XXXXLLL","jose@mailintaor.com","c/ de l'aviador Elena Rico Flores","L'Armentera","Albanyà","biel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","70734514107","Molina Miguel, Helena","29/09/1993","Marti Oliver, Arnau","+34 XXXXXXX","+34 XXXXXXX","helena@mailintaor.com","Soto Ramos, Ivet","+34 XXXXZZZZ","+34 XXXXLLL","arnau@mailintaor.com","c/ de l'aviador Ivet Soto Ramos","L'Armentera","Albanyà","helena@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","49934616530","Pastor Mata, Leo","20/07/1993","Marcos Benito, Ainhoa","+34 XXXXXXX","+34 XXXXXXX","leo@mailintaor.com","Mir Lopez, Dídac","+34 XXXXZZZZ","+34 XXXXLLL","ainhoa@mailintaor.com","c/ de l'aviador Dídac Mir Lopez","L'Armentera","Albanyà","leo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","81093440411","Parra Gomez, Dídac","06/03/1990","Santos Mir, Paula","+34 XXXXXXX","+34 XXXXXXX","didac@mailintaor.com","Diaz Torres, Víctor","+34 XXXXZZZZ","+34 XXXXLLL","paula@mailintaor.com","c/ de l'aviador Víctor Diaz Torres","L'Armentera","Albanyà","didac@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","78141316167","Salas Marcos, Mariona","18/02/1992","Carreras Miro, Gerard","+34 XXXXXXX","+34 XXXXXXX","mariona@mailintaor.com","Ortega Cortes, Aya","+34 XXXXZZZZ","+34 XXXXLLL","gerard@mailintaor.com","c/ de l'aviador Aya Ortega Cortes","L'Armentera","Albanyà","mariona@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","83621298328","Galan Flores, Roc","18/09/1990","Alsina Prieto, Daniel","+34 XXXXXXX","+34 XXXXXXX","roc@mailintaor.com","Pujol Casals, Quim","+34 XXXXZZZZ","+34 XXXXLLL","daniel@mailintaor.com","c/ de l'aviador Quim Pujol Casals","L'Armentera","Albanyà","roc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","36253024437","Farre Soler, Ayman","08/12/1992","Avila Blanco, Aleix","+34 XXXXXXX","+34 XXXXXXX","ayman@mailintaor.com","Pacheco Montes, Bruna","+34 XXXXZZZZ","+34 XXXXLLL","aleix@mailintaor.com","c/ de l'aviador Bruna Pacheco Montes","L'Armentera","Albanyà","ayman@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","17584680205","Palau Carrera, Dídac","26/02/1990","Soria Villanueva, Samuel","+34 XXXXXXX","+34 XXXXXXX","didac@mailintaor.com","Aranda Torres, Leyre","+34 XXXXZZZZ","+34 XXXXLLL","samuel@mailintaor.com","c/ de l'aviador Leyre Aranda Torres","L'Armentera","Albanyà","didac@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","83193150466","Serrano Benitez, Malak","25/09/1993","Morales Capdevila, Nora","+34 XXXXXXX","+34 XXXXXXX","malak@mailintaor.com","Bernal Salazar, Blanca","+34 XXXXZZZZ","+34 XXXXLLL","nora@mailintaor.com","c/ de l'aviador Blanca Bernal Salazar","L'Armentera","Albanyà","malak@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","51781693194","Sierra Prats, Judit","06/02/1994","Garcia Calderon, Ferran","+34 XXXXXXX","+34 XXXXXXX","judit@mailintaor.com","Montero Dominguez, Aina","+34 XXXXZZZZ","+34 XXXXLLL","ferran@mailintaor.com","c/ de l'aviador Aina Montero Dominguez","L'Armentera","Albanyà","judit@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","26432237727","Domingo Barrera, Emma","27/02/1993","Vargas Carmona, Noa","+34 XXXXXXX","+34 XXXXXXX","emma@mailintaor.com","Andres Lopez, Leyre","+34 XXXXZZZZ","+34 XXXXLLL","noa@mailintaor.com","c/ de l'aviador Leyre Andres Lopez","L'Armentera","Albanyà","emma@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","19702522580","Castillo Vila, Mar","30/12/1996","Rojas Castells, Elena","+34 XXXXXXX","+34 XXXXXXX","mar@mailintaor.com","Heredia Roldan, Mireia","+34 XXXXZZZZ","+34 XXXXLLL","elena@mailintaor.com","c/ de l'aviador Mireia Heredia Roldan","L'Armentera","Albanyà","mar@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","47732687823","Lopez Cuevas, Jaume","17/01/1990","Tomas Avila, Valentina","+34 XXXXXXX","+34 XXXXXXX","jaume@mailintaor.com","Badia Casado, Quim","+34 XXXXZZZZ","+34 XXXXLLL","valentina@mailintaor.com","c/ de l'aviador Quim Badia Casado","L'Armentera","Albanyà","jaume@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","43252130206","Roldan Robles, Gisela","20/07/1993","Jimenez Casado, Ayman","+34 XXXXXXX","+34 XXXXXXX","gisela@mailintaor.com","Mesa Navarro, Adrián","+34 XXXXZZZZ","+34 XXXXLLL","ayman@mailintaor.com","c/ de l'aviador Adrián Mesa Navarro","L'Armentera","Albanyà","gisela@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","53552330542","Rios Rey, Judith","19/08/1990","Robles Mateo, Abril","+34 XXXXXXX","+34 XXXXXXX","judith@mailintaor.com","Carrasco Sans, Álvaro","+34 XXXXZZZZ","+34 XXXXLLL","abril@mailintaor.com","c/ de l'aviador Álvaro Carrasco Sans","L'Armentera","Albanyà","judith@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","17138432296","Sanchez Badia, Joana","20/07/1990","Segura Aranda, Elsa","+34 XXXXXXX","+34 XXXXXXX","joana@mailintaor.com","Juan Peña, Elsa","+34 XXXXZZZZ","+34 XXXXLLL","elsa@mailintaor.com","c/ de l'aviador Elsa Juan Peña","L'Armentera","Albanyà","joana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","18391295340","Nadal Maldonado, Cristina","12/04/1991","Pacheco Paredes, Cristina","+34 XXXXXXX","+34 XXXXXXX","cristina@mailintaor.com","Bernal Hidalgo, Javier","+34 XXXXZZZZ","+34 XXXXLLL","cristina@mailintaor.com","c/ de l'aviador Javier Bernal Hidalgo","L'Armentera","Albanyà","cristina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","40689073285","Mateo Sabate, Ayman","14/06/1994","Calvo Santos, Marina","+34 XXXXXXX","+34 XXXXXXX","ayman@mailintaor.com","Guerra Garcia, Leo","+34 XXXXZZZZ","+34 XXXXLLL","marina@mailintaor.com","c/ de l'aviador Leo Guerra Garcia","L'Armentera","Albanyà","ayman@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","30119620430","Silva Gimeno, Valentina","14/06/1997","Mendoza Galvez, Ainhoa","+34 XXXXXXX","+34 XXXXXXX","valentina@mailintaor.com","Manzano Quesada, Joan","+34 XXXXZZZZ","+34 XXXXLLL","ainhoa@mailintaor.com","c/ de l'aviador Joan Manzano Quesada","L'Armentera","Albanyà","valentina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","20908593368","Roldan Pla, Marta","29/09/1992","Serra Cardenas, Iker","+34 XXXXXXX","+34 XXXXXXX","marta@mailintaor.com","Camacho Ibañez, Bruno","+34 XXXXZZZZ","+34 XXXXLLL","iker@mailintaor.com","c/ de l'aviador Bruno Camacho Ibañez","L'Armentera","Albanyà","marta@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","35547611586","Herrero Gracia, Jordi","26/11/1998","Plaza Duran, Unai","+34 XXXXXXX","+34 XXXXXXX","jordi@mailintaor.com","Nuñez Valle, José","+34 XXXXZZZZ","+34 XXXXLLL","unai@mailintaor.com","c/ de l'aviador José Nuñez Valle","L'Armentera","Albanyà","jordi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","86993126261","Font Palau, Naia","27/10/1999","Aguilar Amaya, Jaume","+34 XXXXXXX","+34 XXXXXXX","naia@mailintaor.com","Quintana Serrano, Adrián","+34 XXXXZZZZ","+34 XXXXLLL","jaume@mailintaor.com","c/ de l'aviador Adrián Quintana Serrano","L'Armentera","Albanyà","naia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","85916062607","Rivas Valencia, Izan","04/11/1992","Mendoza Santiago, Mar","+34 XXXXXXX","+34 XXXXXXX","izan@mailintaor.com","Vazquez Dominguez, Leo","+34 XXXXZZZZ","+34 XXXXLLL","mar@mailintaor.com","c/ de l'aviador Leo Vazquez Dominguez","L'Armentera","Albanyà","izan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","38310361420","Blanco Martos, Diego","22/06/1990","Sanz Linares, Ferran","+34 XXXXXXX","+34 XXXXXXX","diego@mailintaor.com","Aparicio Perez, Blanca","+34 XXXXZZZZ","+34 XXXXLLL","ferran@mailintaor.com","c/ de l'aviador Blanca Aparicio Perez","L'Armentera","Albanyà","diego@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","12722237140","Torrent Lorenzo, Valentina","03/02/1996","Arroyo Carrasco, Bruna","+34 XXXXXXX","+34 XXXXXXX","valentina@mailintaor.com","Casanova Linares, Samuel","+34 XXXXZZZZ","+34 XXXXLLL","bruna@mailintaor.com","c/ de l'aviador Samuel Casanova Linares","L'Armentera","Albanyà","valentina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","75185581817","Contreras Calvo, Noa","20/01/1998","Luque Galan, Víctor","+34 XXXXXXX","+34 XXXXXXX","noa@mailintaor.com","Aguilera Abad, Laia","+34 XXXXZZZZ","+34 XXXXLLL","victor@mailintaor.com","c/ de l'aviador Laia Aguilera Abad","L'Armentera","Albanyà","noa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","13097269374","Mora Castaño, Bruno","05/12/1997","Rivas Segura, Joel","+34 XXXXXXX","+34 XXXXXXX","bruno@mailintaor.com","Gutierrez Moya, Xavier","+34 XXXXZZZZ","+34 XXXXLLL","joel@mailintaor.com","c/ de l'aviador Xavier Gutierrez Moya","L'Armentera","Albanyà","bruno@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","77279722822","Soto Barrera, Jan","12/01/1991","Valero Marco, Antonio","+34 XXXXXXX","+34 XXXXXXX","jan@mailintaor.com","Arenas Vega, Ivet","+34 XXXXZZZZ","+34 XXXXLLL","antonio@mailintaor.com","c/ de l'aviador Ivet Arenas Vega","L'Armentera","Albanyà","jan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","86495929205","Zamora Royo, Inés","23/11/1994","Pacheco Puig, Ona","+34 XXXXXXX","+34 XXXXXXX","ines@mailintaor.com","Delgado Sole, Xavi","+34 XXXXZZZZ","+34 XXXXLLL","ona@mailintaor.com","c/ de l'aviador Xavi Delgado Sole","L'Armentera","Albanyà","ines@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","46700179448","Capdevila Andres, Mohamed","20/10/1990","Pons Busquets, Emma","+34 XXXXXXX","+34 XXXXXXX","mohamed@mailintaor.com","Bueno Caballero, Lluc","+34 XXXXZZZZ","+34 XXXXLLL","emma@mailintaor.com","c/ de l'aviador Lluc Bueno Caballero","L'Armentera","Albanyà","mohamed@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","85844486007","Requena Bosch, Isaac","09/07/1992","Mateu Gomez, Andrea","+34 XXXXXXX","+34 XXXXXXX","isaac@mailintaor.com","Beltran Sanz, Nil","+34 XXXXZZZZ","+34 XXXXLLL","andrea@mailintaor.com","c/ de l'aviador Nil Beltran Sanz","L'Armentera","Albanyà","isaac@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","97777398219","Casals Jurado, Martina","04/12/1992","Moreno Cardenas, Clara","+34 XXXXXXX","+34 XXXXXXX","martina@mailintaor.com","Castillo Valverde, Iris","+34 XXXXZZZZ","+34 XXXXLLL","clara@mailintaor.com","c/ de l'aviador Iris Castillo Valverde","L'Armentera","Albanyà","martina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","20945687552","Planas Carmona, Bruna","19/01/1991","Puig Silva, Marc","+34 XXXXXXX","+34 XXXXXXX","bruna@mailintaor.com","Lazaro Soler, Joana","+34 XXXXZZZZ","+34 XXXXLLL","marc@mailintaor.com","c/ de l'aviador Joana Lazaro Soler","L'Armentera","Albanyà","bruna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","25369836163","Cano Mata, Lluc","13/08/1999","Andres Luque, Albert","+34 XXXXXXX","+34 XXXXXXX","lluc@mailintaor.com","Aranda Marcos, Iker","+34 XXXXZZZZ","+34 XXXXLLL","albert@mailintaor.com","c/ de l'aviador Iker Aranda Marcos","L'Armentera","Albanyà","lluc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","14131239625","Marin Sola, Alba","19/05/1999","Izquierdo Blanco, Pau","+34 XXXXXXX","+34 XXXXXXX","alba@mailintaor.com","Valero Mendez, Jana","+34 XXXXZZZZ","+34 XXXXLLL","pau@mailintaor.com","c/ de l'aviador Jana Valero Mendez","L'Armentera","Albanyà","alba@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","45707620170","Jurado Suarez, Alejandro","23/06/1994","Farre Andres, Inés","+34 XXXXXXX","+34 XXXXXXX","alejandro@mailintaor.com","Cruz Badia, Valentina","+34 XXXXZZZZ","+34 XXXXLLL","ines@mailintaor.com","c/ de l'aviador Valentina Cruz Badia","L'Armentera","Albanyà","alejandro@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","35706303509","Romero Martinez, Gabriel","24/10/1998","Font Dalmau, Salma","+34 XXXXXXX","+34 XXXXXXX","gabriel@mailintaor.com","Sancho Vega, Arlet","+34 XXXXZZZZ","+34 XXXXLLL","salma@mailintaor.com","c/ de l'aviador Arlet Sancho Vega","L'Armentera","Albanyà","gabriel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","18400074144","Bueno Bravo, Daniel","19/11/1994","Badia Miranda, Carlos","+34 XXXXXXX","+34 XXXXXXX","daniel@mailintaor.com","Guzman Marquez, Joel","+34 XXXXZZZZ","+34 XXXXLLL","carlos@mailintaor.com","c/ de l'aviador Joel Guzman Marquez","L'Armentera","Albanyà","daniel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","62295480109","Maldonado Miguel, Aleix","13/03/1997","Leon Valencia, Sara","+34 XXXXXXX","+34 XXXXXXX","aleix@mailintaor.com","Codina Aparicio, Erik","+34 XXXXZZZZ","+34 XXXXLLL","sara@mailintaor.com","c/ de l'aviador Erik Codina Aparicio","L'Armentera","Albanyà","aleix@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","84712773019","Ramos Vicente, Aya","31/01/1991","Bosch Rojas, Aya","+34 XXXXXXX","+34 XXXXXXX","aya@mailintaor.com","Romero Esteve, Alba","+34 XXXXZZZZ","+34 XXXXLLL","aya@mailintaor.com","c/ de l'aviador Alba Romero Esteve","L'Armentera","Albanyà","aya@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","44461546887","Caballero Hidalgo, Aleix","28/06/1994","Domenech Rosell, Ainara","+34 XXXXXXX","+34 XXXXXXX","aleix@mailintaor.com","Martin Nuñez, Eva","+34 XXXXZZZZ","+34 XXXXLLL","ainara@mailintaor.com","c/ de l'aviador Eva Martin Nuñez","L'Armentera","Albanyà","aleix@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","67894310137","Roman Royo, Mariona","24/06/1991","Busquets Cano, Anna","+34 XXXXXXX","+34 XXXXXXX","mariona@mailintaor.com","Guzman Abad, Marina","+34 XXXXZZZZ","+34 XXXXLLL","anna@mailintaor.com","c/ de l'aviador Marina Guzman Abad","L'Armentera","Albanyà","mariona@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","19204306537","Herrera Montoya, Guillem","29/11/1999","Ortiz Ramon, Ariadna","+34 XXXXXXX","+34 XXXXXXX","guillem@mailintaor.com","Mora Sole, Jan","+34 XXXXZZZZ","+34 XXXXLLL","ariadna@mailintaor.com","c/ de l'aviador Jan Mora Sole","L'Armentera","Albanyà","guillem@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","88684140698","Benitez Valverde, Alba","10/11/1994","Lazaro Gracia, Martí","+34 XXXXXXX","+34 XXXXXXX","alba@mailintaor.com","Sole Murillo, Adrià","+34 XXXXZZZZ","+34 XXXXLLL","marti@mailintaor.com","c/ de l'aviador Adrià Sole Murillo","L'Armentera","Albanyà","alba@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
